problem,n,time_s,source
Problem 1,1,2.4000037228688598e-06,measured
Problem 1,10,6.199996278155595e-06,measured
Problem 1,100,0.0008832999956212007,measured
Problem 1,1000,0.1326139000011608,measured
Problem 1,10000,18.067996667523143,estimated
Problem 1,100000,2258.526305525708,estimated
Problem 1,1000000,271023.1823076668,estimated
Problem 2,1,6.999980541877449e-07,measured
Problem 2,10,1.2999953469261527e-06,measured
Problem 2,100,5.299996701069176e-06,measured
Problem 2,1000,7.639999967068434e-05,measured
Problem 2,10000,0.0007372000036411919,measured
Problem 2,100000,0.007470899996405933,measured
Problem 2,1000000,0.07551019999664277,measured
Problem 3,1,1.0000003385357559e-06,measured
Problem 3,10,1.400003384333104e-06,measured
Problem 3,100,3.609999839682132e-05,measured
Problem 3,1000,0.004593500001647044,measured
Problem 3,10000,0.4682750686476258,estimated
Problem 3,100000,46.845244775020056,estimated
Problem 3,1000000,4684.5422154122625,estimated
